pagina,codigo,texto
8,OEI.01,"Contribuir con la generación de condiciones para la adopción de hábitos, conductas y estilos de vida saludables para la población."
10,OEI.02,"Contribuir a la reducción de los principales riesgos modificables atribuidos a la carga de enfermedad en la población."
12,OEI.03,"Contribuir al acceso a servicios de salud eficaces y de calidad de la población del país."
14,OEI.04,"Fortalecer la función rectora, reguladora y fiscalizadora del Ministerio de Salud."
15,OEI.05,"Fortalecer la gobernanza multisectorial de intervenciones articuladas en el territorio que responde a las necesidades y expectativas de las personas."
16,OEI.06,"Fortalecer la implementación de los esquemas de modernización en el Ministerio de Salud."
17,OEI.07,"Mejorar la gestión de riesgos en salud ante emergencias, desastres, efectos de cambio climático y amenazas globales."
