pagina,codigo,texto
10,OG,"Implementar el Gobierno y la Transformación digital en el Ministerio de Salud, UE 001: Administración Central MINSA durante los años 2024–2026."
10,OE-01,"Incorporar mecanismos para el fortalecimiento de la confianza y seguridad digital en los procesos que conduce el Ministerio de Salud, UE 001: Administración Central MINSA."
10,OE-02,"Actualizar la Infraestructura Tecnológica y mecanismos de soporte digital Institucional del Ministerio de Salud, UE 001: Administración Central MINSA para brindar los servicios digitales."
10,OE-03,"Incrementar la cantidad de los servicios digitales provistos por el Ministerio de Salud, UE 001: Administración Central MINSA para el beneficio de los usuarios."
