Instrumento,¿Existe?,Vigencia,¿Está aprobado formalmente?,¿Se evalúa periódicamente?,Objetivo relevante para el PETI,Observación
Política Nacional de Transformación Digital al 2030,Sí,2030,Sí,Sí,Impulsar la transformación digital del país,Marco nacional para orientar el gobierno digital.
PEI del Ministerio de Salud,Sí,2025-2030,Sí,Sí,OEI.06 Fortalecer la implementación de los esquemas de modernización en el Ministerio de Salud,Es el principal instrumento institucional para articular el PETI.
POI del Ministerio de Salud,Sí,Anual,Sí,Sí,Concretar las acciones estratégicas institucionales,Instrumento operativo para ejecutar las acciones del PEI.
PGD del Ministerio de Salud,Sí,2024-2026,Sí,Sí,Implementar el Gobierno y la Transformación Digital en el MINSA,Orienta los proyectos y acciones de gobierno digital.
PETI del Ministerio de Salud,En construcción,2026-2028,En construcción,En construcción,Apoyar mediante TI el logro de los objetivos institucionales,El presente trabajo desarrolla el marco de planeamiento del PETI.
